Genome name	BioSample	Dataset	Run(s) accession number(s)	Year of sampling	Clade (only for Lee 2015)
G06558	SAMEA2534677	Shitikov 2017	ERR552482		
G06563	SAMEA2534809	Shitikov 2017	ERR552668;ERR552669;ERR552670;ERR552671		
G06587	SAMEA2535236	Shitikov 2017	ERR553237		
G09838	SAMEA1015932	Shitikov 2017	ERR067692		
G09842	SAMEA1015943	Shitikov 2017	ERR067671		
G09847	SAMEA1015968	Shitikov 2017	ERR067668		
G09858	SAMEA1015990	Shitikov 2017	ERR067694		
G09862	SAMEA1015998	Shitikov 2017	ERR067744		
G09866	SAMEA1016006	Shitikov 2017	ERR067674		
G09867	SAMEA1016007	Shitikov 2017	ERR067598		
G09892	SAMEA1016074	Shitikov 2017	ERR067586		
G09902	SAMEA1016097	Shitikov 2017	ERR067759		
G09903	SAMEA1016098	Shitikov 2017	ERR067584		
G09904	SAMEA1016099	Shitikov 2017	ERR067723		
G09912	SAMEA1016118	Shitikov 2017	ERR067760		
G09916	SAMEA1016127	Shitikov 2017	ERR067626		
G09933	SAMEA1016171	Shitikov 2017	ERR067755		
G09935	SAMEA1016175	Shitikov 2017	ERR067631		
G09942	SAMEA1016197	Shitikov 2017	ERR067659		
G09950	SAMEA1403555	Shitikov 2017	ERR108488		
G09951	SAMEA1403557	Shitikov 2017	ERR144564		
G09996	SAMEA1403640	Shitikov 2017	ERR144581		
G09999	SAMEA1403644	Shitikov 2017	ERR133951		
G10009	SAMEA1403659	Shitikov 2017	ERR144584		
G10019	SAMEA1403673	Shitikov 2017	ERR133907		
G10024	SAMEA1403681	Shitikov 2017	ERR144571		
G10028	SAMEA1403687	Shitikov 2017	ERR144570		
G10030	SAMEA1403689	Shitikov 2017	ERR117463		
G10031	SAMEA1403690	Shitikov 2017	ERR133888		
G10033	SAMEA1403695	Shitikov 2017	ERR133884		
G10036	SAMEA1403698	Shitikov 2017	ERR117464		
G10041	SAMEA1403707	Shitikov 2017	ERR133982		
G10053	SAMEA1403754	Shitikov 2017	ERR108439		
G10060	SAMEA1403764	Shitikov 2017	ERR144635		
G10064	SAMEA1403769	Shitikov 2017	ERR108435		
G10067	SAMEA1403773	Shitikov 2017	ERR133933		
G10073	SAMEA1403784	Shitikov 2017	ERR144542		
G10076	SAMEA1403791	Shitikov 2017	ERR144595		
G10109	SAMEA1403874	Shitikov 2017	ERR133880		
G10115	SAMEA1403884	Shitikov 2017	ERR133879		
G10133	SAMEA1403915	Shitikov 2017	ERR133901		
G10136	SAMEA1403919	Shitikov 2017	ERR108450		
G10143	SAMEA1403929	Shitikov 2017	ERR108420		
G10144	SAMEA1403931	Shitikov 2017	ERR133918		
G10146	SAMEA1403938	Shitikov 2017	ERR108421		
G10148	SAMEA1403942	Shitikov 2017	ERR144607		
G10150	SAMEA1403946	Shitikov 2017	ERR133916		
G10151	SAMEA1403950	Shitikov 2017	ERR108447		
G10168	SAMEA1403986	Shitikov 2017	ERR108443		
G10182	SAMEA1404014	Shitikov 2017	ERR133900		
G10189	SAMEA1404021	Shitikov 2017	ERR133899		
G10243	SAMEA1707113	Shitikov 2017	ERR234644		
G10246	SAMEA1707117	Shitikov 2017	ERR228039		
G10257	SAMEA1707141	Shitikov 2017	ERR228040		
G10270	SAMEA1707171	Shitikov 2017	ERR234651		
G10275	SAMEA1707180	Shitikov 2017	ERR234649		
G10279	SAMEA1707188	Shitikov 2017	ERR234650		
G10282	SAMEA1707192	Shitikov 2017	ERR234668		
G10287	SAMEA1707205	Shitikov 2017	ERR234630		
G10294	SAMEA1707225	Shitikov 2017	ERR229949		
G10323	SAMEA1707299	Shitikov 2017	ERR229976		
G10330	SAMEA1707317	Shitikov 2017	ERR229995		
G10331	SAMEA1707318	Shitikov 2017	ERR234597		
G10337	SAMEA1707330	Shitikov 2017	ERR228051		
G10346	SAMEA1707355	Shitikov 2017	ERR227982		
G10358	SAMEA1707377	Shitikov 2017	ERR227976		
G10359	SAMEA1707383	Shitikov 2017	ERR227977		
G10367	SAMEA1403715	Shitikov 2017	ERR133837		
G10389	SAMEA1403833	Shitikov 2017	ERR108499		
G10402	SAMEA1707405	Shitikov 2017	ERR234656		
G10408	SAMEA1707424	Shitikov 2017	ERR234639		
G10417	SAMEA1707450	Shitikov 2017	ERR228028		
G10421	SAMEA1707460	Shitikov 2017	ERR229955		
G10425	SAMEA1707471	Shitikov 2017	ERR230007		
G10430	SAMEA1707486	Shitikov 2017	ERR229969		
G10432	SAMEA1707490	Shitikov 2017	ERR229936		
G10440	SAMEA1707511	Shitikov 2017	ERR228006		
G10446	SAMEA1707526	Shitikov 2017	ERR229964		
G10454	SAMEA1707549	Shitikov 2017	ERR229982		
G10458	SAMEA1707558	Shitikov 2017	ERR234610		
G10464	SAMEA1707573	Shitikov 2017	ERR234607		
G11230	SAMN02419541	Shitikov 2017	SRR1159150;SRR1159083		
G11233	SAMN02419596	Shitikov 2017	SRR1159279;SRR1159003		
G11234	SAMN02419567	Shitikov 2017	SRR1159283;SRR1159108		
G11240	SAMN02419562	Shitikov 2017	SRR1159351;SRR1158874		
G11242	SAMN02419602	Shitikov 2017	SRR1159362;SRR1159122		
G11248	SAMN02419590	Shitikov 2017	SRR1159384;SRR1159294		
G11255	SAMN02419565	Shitikov 2017	SRR1159790;SRR1159738		
G11257	SAMN02419538	Shitikov 2017	SRR1159818;SRR1159393		
G11262	SAMN02419548	Shitikov 2017	SRR1159954;SRR1159760		
G11263	SAMN02419591	Shitikov 2017	SRR1159957;SRR1159926		
G11264	SAMN02419534	Shitikov 2017	SRR1159959;SRR1159661		
G11265	SAMN02419561	Shitikov 2017	SRR1159977;SRR1159700		
G11266	SAMN02419597	Shitikov 2017	SRR1159986;SRR1159861		
G11268	SAMN02419547	Shitikov 2017	SRR1162485;SRR1159044		
G11269	SAMN02419585	Shitikov 2017	SRR1162491;SRR1159293		
G11272	SAMN02419587	Shitikov 2017	SRR1162498;SRR1158950		
G11276	SAMN02419595	Shitikov 2017	SRR1162505;SRR1158990		
G11278	SAMN02419592	Shitikov 2017	SRR1162509;SRR1158943		
G11280	SAMN02419570	Shitikov 2017	SRR1162517;SRR1159286		
G11283	SAMN02419577	Shitikov 2017	SRR1162526;SRR1158989		
G11284	SAMN02419533	Shitikov 2017	SRR1162529;SRR1159349		
G11285	SAMN02419558	Shitikov 2017	SRR1159066		
G11286	SAMN02419583	Shitikov 2017	SRR1162531;SRR1158907		
G11288	SAMN02419580	Shitikov 2017	SRR1162533;SRR1158923		
G11290	SAMN02419571	Shitikov 2017	SRR1162535;SRR1159121		
G11295	SAMN02419569	Shitikov 2017	SRR1162541;SRR1158898		
G11296	SAMN02419593	Shitikov 2017	SRR1162542;SRR1159034		
G11299	SAMN02419636	Shitikov 2017	SRR1163291;SRR1163079		
G11303	SAMN02419651	Shitikov 2017	SRR1163298;SRR1163139		
G11304	SAMN02419656	Shitikov 2017	SRR1163299;SRR1163211		
G11308	SAMN02419664	Shitikov 2017	SRR1163310;SRR1163023		
G11309	SAMN02419628	Shitikov 2017	SRR1163313;SRR1163101		
G11310	SAMN02419631	Shitikov 2017	SRR1163314;SRR1163198		
G11313	SAMN02419616	Shitikov 2017	SRR1163318;SRR1163135		
G11316	SAMN02419662	Shitikov 2017	SRR1163325;SRR1163145		
G11317	SAMN02419676	Shitikov 2017	SRR1163326;SRR1162980		
G11319	SAMN02419615	Shitikov 2017	SRR1163330;SRR1163126		
G11320	SAMN02419611	Shitikov 2017	SRR1163332;SRR1163202		
G11321	SAMN02419629	Shitikov 2017	SRR1163336;SRR1162952		
G11328	SAMN02419609	Shitikov 2017	SRR1163348;SRR1163050		
G11329	SAMN02419650	Shitikov 2017	SRR1163349;SRR1163080		
G11331	SAMN02419638	Shitikov 2017	SRR1163354;SRR1163002		
G11343	SAMN02419679	Shitikov 2017	SRR1163380;SRR1163178		
G11346	SAMN02419675	Shitikov 2017	SRR1163387;SRR1163081		
G11348	SAMN02419634	Shitikov 2017	SRR1163392;SRR1163021		
G11351	SAMN02419659	Shitikov 2017	SRR1163397;SRR1162966		
G11354	SAMN02419612	Shitikov 2017	SRR1163404;SRR1163121		
G11355	SAMN02419649	Shitikov 2017	SRR1163405;SRR1163114		
G11356	SAMN02419667	Shitikov 2017	SRR1163406;SRR1163369		
G11357	SAMN02419685	Shitikov 2017	SRR1163407;SRR1162977		
G11365	SAMN02419655	Shitikov 2017	SRR1163423;SRR1162953		
G11366	SAMN02419606	Shitikov 2017	SRR1163429;SRR1163025		
G11398	SAMN02419668	Shitikov 2017	SRR1172231;SRR1169096		
G11424	SAMN02419674	Shitikov 2017	SRR1172449;SRR1169070		
G11428	SAMN02419658	Shitikov 2017	SRR1174821;SRR1169143		
G11537	SAMN02419614	Shitikov 2017	SRR1166920;SRR1162947		
G11792	SAMN02414858	Shitikov 2017	SRR1165524;SRR1165549		
G11904	SAMN02414902	Shitikov 2017	SRR1162853;SRR1163003		
G12029	SAMN02414947	Shitikov 2017	SRR1165602		
G13669	SAMEA2534405	Shitikov 2017	ERR552090		
G13810	SAMEA2534744	Shitikov 2017	ERR552580		
G13972	SAMEA2535113	Shitikov 2017	ERR553068		
G18199	SAMEA968117	Shitikov 2017	ERR028619		
G18202	SAMEA968188	Shitikov 2017	ERR029209		
G18203	SAMEA968118	Shitikov 2017	ERR028609		
G18235	SAMEA2072277	Shitikov 2017	ERR275226		
G18667	SAMN02628498	Shitikov 2017	SRR1173393		
G18669	SAMN02628499	Shitikov 2017	SRR1172711		
G18671	SAMN02628500	Shitikov 2017	SRR1173675		
G18675	SAMN02628502	Shitikov 2017	SRR1173628		
G18679	SAMN02628504	Shitikov 2017	SRR1173192		
G18681	SAMN02628505	Shitikov 2017	SRR1173131		
G18703	SAMN02628526	Shitikov 2017	SRR1172183;SRR1172288		
G19287	SAMN02584612	Shitikov 2017	SRR1166179		
G19319	SAMN02584653	Shitikov 2017	SRR1166267		
G19395	SAMN02584608	Shitikov 2017	SRR1166187		
G05527	SAMEA2533361	Roetzer 2013	ERR550641	2004	
G10587	SAMEA2533381	Roetzer 2013	ERR550671	2006	
G10588	SAMEA2533396	Roetzer 2013	ERR550691	1998	
G10589	SAMEA2533407	Roetzer 2013	ERR550703	2008	
G10590	SAMEA2533478	Roetzer 2013	ERR550799	2003	
G10591	SAMEA2533483	Roetzer 2013	ERR550804	2008	
G10592	SAMEA2533492	Roetzer 2013	ERR550816	2007	
G10593	SAMEA2533532	Roetzer 2013	ERR550870	2009	
G10594	SAMEA2533543	Roetzer 2013	ERR550888	2006	
G10596	SAMEA2533576	Roetzer 2013	ERR550937	2007	
G10597	SAMEA2533600	Roetzer 2013	ERR550970	2009	
G10598	SAMEA2533608	Roetzer 2013	ERR550982	2001	
G10599	SAMEA2533640	Roetzer 2013	ERR551021	2002	
G10600	SAMEA2533662	Roetzer 2013	ERR551049	2009	
G10601	SAMEA2533691	Roetzer 2013	ERR551088	1999	
G10602	SAMEA2533775	Roetzer 2013	ERR551209	2002	
G10603	SAMEA2533782	Roetzer 2013	ERR551216	2005	
G10605	SAMEA2533859	Roetzer 2013	ERR551325	2008	
G10606	SAMEA2533869	Roetzer 2013	ERR551341	2001	
G10607	SAMEA2533933	Roetzer 2013	ERR551425	2008	
G10608	SAMEA2533992	Roetzer 2013	ERR551506	2006	
G10609	SAMEA2533995	Roetzer 2013	ERR551517	2009	
G10610	SAMEA2534041	Roetzer 2013	ERR551577	1999	
G10611	SAMEA2534111	Roetzer 2013	ERR551678	2004	
G10612	SAMEA2534132	Roetzer 2013	ERR551702	1999	
G10613	SAMEA2534178	Roetzer 2013	ERR551764	1999	
G10614	SAMEA2534266	Roetzer 2013	ERR551885	2005	
G10615	SAMEA2534279	Roetzer 2013	ERR551903	2004	
G10617	SAMEA2534361	Roetzer 2013	ERR552026	2009	
G10618	SAMEA2534470	Roetzer 2013	ERR552184	1998	
G10619	SAMEA2534505	Roetzer 2013	ERR552236	2009	
G10620	SAMEA2534510	Roetzer 2013	ERR552243	2000	
G10621	SAMEA2534520	Roetzer 2013	ERR552262	2002	
G10623	SAMEA2534535	Roetzer 2013	ERR552275	2007	
G10624	SAMEA2534577	Roetzer 2013	ERR552339	1999	
G10625	SAMEA2534594	Roetzer 2013	ERR552360	1998	
G10626	SAMEA2534600	Roetzer 2013	ERR552368	1997	
G10627	SAMEA2534610	Roetzer 2013	ERR552380	2008	
G10628	SAMEA2534630	Roetzer 2013	ERR552408	1999	
G10629	SAMEA2534636	Roetzer 2013	ERR552414	2000	
G10630	SAMEA2534770	Roetzer 2013	ERR552616	1998	
G10631	SAMEA2534774	Roetzer 2013	ERR552623	2008	
G10633	SAMEA2534778	Roetzer 2013	ERR552629	1999	
G10634	SAMEA2534781	Roetzer 2013	ERR552633	2002	
G10636	SAMEA2534843	Roetzer 2013	ERR552714	1997	
G10638	SAMEA2534926	Roetzer 2013	ERR552817	2000	
G10639	SAMEA2534955	Roetzer 2013	ERR552854	1999	
G10640	SAMEA2534965	Roetzer 2013	ERR552864	2010	
G10641	SAMEA2534968	Roetzer 2013	ERR552867	1998	
G10642	SAMEA2534981	Roetzer 2013	ERR552890	2000	
G10643	SAMEA2535038	Roetzer 2013	ERR552967	1997	
G10644	SAMEA2535065	Roetzer 2013	ERR553007	1999	
G10645	SAMEA2535068	Roetzer 2013	ERR553010	1998	
G10646	SAMEA2535085	Roetzer 2013	ERR553035	2006	
G10647	SAMEA2535124	Roetzer 2013	ERR553080	2002	
G10648	SAMEA2535147	Roetzer 2013	ERR553111	2006	
G10650	SAMEA2535196	Roetzer 2013	ERR553177	2001	
G10651	SAMEA2535270	Roetzer 2013	ERR553279	2008	
G10652	SAMEA2535276	Roetzer 2013	ERR553288	2007	
G10653	SAMEA2535291	Roetzer 2013	ERR553305	2009	
G10654	SAMEA2535308	Roetzer 2013	ERR553326	2000	
G33422	SAMN06920022	Bainomugisa 2018	SRR5520573	2014	
G33423	SAMN06920023	Bainomugisa 2018	SRR5520575	2014	
G33424	SAMN06920024	Bainomugisa 2018	SRR5520594	2014	
G33425	SAMN06920025	Bainomugisa 2018	SRR5520596	2014	
G33427	SAMN06920027	Bainomugisa 2018	SRR5520599	2014	
G33428	SAMN06920028	Bainomugisa 2018	SRR5520600	2014	
G33430	SAMN06920030	Bainomugisa 2018	SRR5520605	2014	
G33431	SAMN06920031	Bainomugisa 2018	SRR5520607	2015	
G33432	SAMN06920032	Bainomugisa 2018	SRR5520608	2015	
G33434	SAMN06920034	Bainomugisa 2018	SRR5520615	2015	
G33435	SAMN06920035	Bainomugisa 2018	SRR5527175	2012	
G33436	SAMN06920036	Bainomugisa 2018	SRR5525980	2013	
G33437	SAMN06920037	Bainomugisa 2018	SRR5525981	2013	
G33439	SAMN06920039	Bainomugisa 2018	SRR5525983	2012	
G33440	SAMN06920040	Bainomugisa 2018	SRR5525984	2013	
G33441	SAMN06920041	Bainomugisa 2018	SRR5525985	2014	
G33443	SAMN06920043	Bainomugisa 2018	SRR5525987	2014	
G33444	SAMN06920044	Bainomugisa 2018	SRR5525995	2014	
G33445	SAMN06920045	Bainomugisa 2018	SRR5525996	2014	
G33446	SAMN06920046	Bainomugisa 2018	SRR5525997	2014	
G33447	SAMN06920047	Bainomugisa 2018	SRR5525998	2014	
G33448	SAMN06920048	Bainomugisa 2018	SRR5526019	2014	
G33450	SAMN06920050	Bainomugisa 2018	SRR5526157	2014	
G33451	SAMN06920051	Bainomugisa 2018	SRR5526158	2014	
G33453	SAMN06920053	Bainomugisa 2018	SRR5526351	2014	
G33455	SAMN06920055	Bainomugisa 2018	SRR5526639	2014	
G33456	SAMN06920056	Bainomugisa 2018	SRR5526642	2014	
G33458	SAMN06920058	Bainomugisa 2018	SRR5526775	2014	
G33459	SAMN06920059	Bainomugisa 2018	SRR5526782	2014	
G33460	SAMN06920060	Bainomugisa 2018	SRR5526784	2014	
G33461	SAMN06920061	Bainomugisa 2018	SRR5526785	2014	
G33462	SAMN06920062	Bainomugisa 2018	SRR5526787	2014	
G33464	SAMN06920064	Bainomugisa 2018	SRR5526839	2014	
G33465	SAMN06920065	Bainomugisa 2018	SRR5526841	2014	
G33466	SAMN06920066	Bainomugisa 2018	SRR5526842	2014	
G33467	SAMN06920067	Bainomugisa 2018	SRR5526843	2014	
G33468	SAMN06920068	Bainomugisa 2018	SRR5526844	2014	
G33470	SAMN06920070	Bainomugisa 2018	SRR5526846	2014	
G33471	SAMN06920071	Bainomugisa 2018	SRR5526865	2014	
G33473	SAMN06920073	Bainomugisa 2018	SRR5526904	2014	
G33474	SAMN06920074	Bainomugisa 2018	SRR5526905	2014	
G33475	SAMN06920075	Bainomugisa 2018	SRR5526915	2014	
G33476	SAMN06920076	Bainomugisa 2018	SRR5526916	2014	
G33478	SAMN06920078	Bainomugisa 2018	SRR5526922	2014	
G33479	SAMN06920079	Bainomugisa 2018	SRR5527176	2014	
G33480	SAMN06920080	Bainomugisa 2018	SRR5527177	2014	
G33481	SAMN06920081	Bainomugisa 2018	SRR5527178	2014	
G33482	SAMN06920082	Bainomugisa 2018	SRR5527179	2014	
G33483	SAMN06920083	Bainomugisa 2018	SRR5527196	2014	
G33484	SAMN06920084	Bainomugisa 2018	SRR5527198	2014	
G33485	SAMN06920085	Bainomugisa 2018	SRR5527199	2014	
G33487	SAMN06920087	Bainomugisa 2018	SRR5527201	2014	
G33488	SAMN06920088	Bainomugisa 2018	SRR5527202	2014	
G33489	SAMN06920089	Bainomugisa 2018	SRR5533129	2014	
G33490	SAMN06920090	Bainomugisa 2018	SRR5533130	2014	
G33492	SAMN06920092	Bainomugisa 2018	SRR5533143	2014	
G33493	SAMN06920093	Bainomugisa 2018	SRR5533151	2014	
G33494	SAMN06920094	Bainomugisa 2018	SRR5533152	2014	
G33495	SAMN06920095	Bainomugisa 2018	SRR5533153	2014	
G33496	SAMN06920096	Bainomugisa 2018	SRR5533176	2014	
G33497	SAMN06920097	Bainomugisa 2018	SRR5533179	2014	
G33498	SAMN06920098	Bainomugisa 2018	SRR5533249	2014	
G33499	SAMN06920099	Bainomugisa 2018	SRR5548263	2014	
G33500	SAMN06920100	Bainomugisa 2018	SRR5536057	2014	
G33501	SAMN06920101	Bainomugisa 2018	SRR5549699	2015	
G33503	SAMN06920103	Bainomugisa 2018	SRR5550936		
G33504	SAMN06920104	Bainomugisa 2018	SRR5551225		
G33505	SAMN06920105	Bainomugisa 2018	SRR5551477	2015	
G33506	SAMN06920106	Bainomugisa 2018	SRR5551664	2015	
G33508	SAMN06920107	Bainomugisa 2018	SRR5551666	2015	
G33509	SAMN06920109	Bainomugisa 2018	SRR5551764	2015	
G33510	SAMN06920110	Bainomugisa 2018	SRR5552263	2015	
G33511	SAMN06920112	Bainomugisa 2018	SRR5552377	2015	
G33512	SAMN06920111	Bainomugisa 2018	SRR5552376	2015	
G33513	SAMN06920113	Bainomugisa 2018	SRR5552415	2015	
G33514	SAMN06920114	Bainomugisa 2018	SRR5552458	2015	
G33515	SAMN06920115	Bainomugisa 2018	SRR5552459	2015	
G33516	SAMN06920116	Bainomugisa 2018	SRR5552560	2015	
G33517	SAMN06920117	Bainomugisa 2018	SRR5552561	2015	
G33518	SAMN06920118	Bainomugisa 2018	SRR5552562	2015	
G33519	SAMN06920119	Bainomugisa 2018	SRR5552663		
G34763	SAMEA3449981	Bjorn-Mortensen 2016	ERR911858;ERR911859;ERR911860;ERR911861		
G34767	SAMEA3449985	Bjorn-Mortensen 2016	ERR911867		
G34769	SAMEA3449987	Bjorn-Mortensen 2016	ERR911869		
G34771	SAMEA3449989	Bjorn-Mortensen 2016	ERR911871;ERR911872;ERR911873		
G34773	SAMEA3449991	Bjorn-Mortensen 2016	ERR911875		
G34775	SAMEA3449993	Bjorn-Mortensen 2016	ERR911877;ERR911878;ERR911879		
G34777	SAMEA3449995	Bjorn-Mortensen 2016	ERR911881;ERR911882		
G34779	SAMEA3449997	Bjorn-Mortensen 2016	ERR911884		
G34781	SAMEA3449999	Bjorn-Mortensen 2016	ERR911886		
G34783	SAMEA3450001	Bjorn-Mortensen 2016	ERR911888		
G34785	SAMEA3450003	Bjorn-Mortensen 2016	ERR911890;ERR911891		
G34791	SAMEA3450009	Bjorn-Mortensen 2016	ERR911897		
G34793	SAMEA3450011	Bjorn-Mortensen 2016	ERR911899		
G34795	SAMEA3450013	Bjorn-Mortensen 2016	ERR911901;ERR911902;ERR911903		
G34797	SAMEA3450015	Bjorn-Mortensen 2016	ERR911905;ERR911906;ERR911907		
G34799	SAMEA3450017	Bjorn-Mortensen 2016	ERR911909;ERR911910		
G34801	SAMEA3450019	Bjorn-Mortensen 2016	ERR911912		
G34805	SAMEA3450023	Bjorn-Mortensen 2016	ERR911917;ERR911918		
G34809	SAMEA3450027	Bjorn-Mortensen 2016	ERR911923		
G34811	SAMEA3450029	Bjorn-Mortensen 2016	ERR911925		
G34813	SAMEA3450031	Bjorn-Mortensen 2016	ERR911927		
G34815	SAMEA3450033	Bjorn-Mortensen 2016	ERR911929;ERR911930		
G34817	SAMEA3450035	Bjorn-Mortensen 2016	ERR911932		
G34819	SAMEA3450037	Bjorn-Mortensen 2016	ERR911934;ERR911935;ERR911936		
G34821	SAMEA3450039	Bjorn-Mortensen 2016	ERR911938;ERR911939;ERR911940;ERR911941		
G34823	SAMEA3450041	Bjorn-Mortensen 2016	ERR911943		
G34825	SAMEA3450043	Bjorn-Mortensen 2016	ERR911945;ERR911946		
G34827	SAMEA3450045	Bjorn-Mortensen 2016	ERR911948		
G34831	SAMEA3450049	Bjorn-Mortensen 2016	ERR911952		
G34834	SAMEA3500987	Bjorn-Mortensen 2016	ERR978663		
G34836	SAMEA3500989	Bjorn-Mortensen 2016	ERR978665		
G34841	SAMEA3500994	Bjorn-Mortensen 2016	ERR978670		
G34842	SAMEA3500995	Bjorn-Mortensen 2016	ERR978671		
G34843	SAMEA3500996	Bjorn-Mortensen 2016	ERR978672		
G34844	SAMEA3500997	Bjorn-Mortensen 2016	ERR978673		
G34849	SAMEA3501002	Bjorn-Mortensen 2016	ERR978678;ERR978679		
G34850	SAMEA3501003	Bjorn-Mortensen 2016	ERR978680		
G34853	SAMEA3501006	Bjorn-Mortensen 2016	ERR978684		
G34855	SAMEA3501008	Bjorn-Mortensen 2016	ERR978686		
G34856	SAMEA3501009	Bjorn-Mortensen 2016	ERR978687		
G34857	SAMEA3501010	Bjorn-Mortensen 2016	ERR978688		
G34858	SAMEA3501011	Bjorn-Mortensen 2016	ERR978689		
G34860	SAMEA3501013	Bjorn-Mortensen 2016	ERR978691		
G34861	SAMEA3501014	Bjorn-Mortensen 2016	ERR978692		
G34862	SAMEA3501015	Bjorn-Mortensen 2016	ERR978693;ERR978694		
G34864	SAMEA3501017	Bjorn-Mortensen 2016	ERR978696		
G34865	SAMEA3501018	Bjorn-Mortensen 2016	ERR978697		
G34867	SAMEA3501020	Bjorn-Mortensen 2016	ERR978699		
G34869	SAMEA3501022	Bjorn-Mortensen 2016	ERR978701		
G34870	SAMEA3501023	Bjorn-Mortensen 2016	ERR978702		
G34873	SAMEA3501026	Bjorn-Mortensen 2016	ERR978705		
G34874	SAMEA3501027	Bjorn-Mortensen 2016	ERR978706		
G34875	SAMEA3501028	Bjorn-Mortensen 2016	ERR978707		
G34876	SAMEA3501029	Bjorn-Mortensen 2016	ERR978708		
G34877	SAMEA3501030	Bjorn-Mortensen 2016	ERR978709;ERR978710		
G34878	SAMEA3501031	Bjorn-Mortensen 2016	ERR978711		
G34879	SAMEA3501032	Bjorn-Mortensen 2016	ERR978712		
G34880	SAMEA3501033	Bjorn-Mortensen 2016	ERR978713		
G34881	SAMEA3501034	Bjorn-Mortensen 2016	ERR978714		
G34882	SAMEA3501035	Bjorn-Mortensen 2016	ERR978715		
G34885	SAMEA3501038	Bjorn-Mortensen 2016	ERR978718		
G34888	SAMEA3501041	Bjorn-Mortensen 2016	ERR978721		
G34889	SAMEA3501042	Bjorn-Mortensen 2016	ERR978722		
G34891	SAMEA3501044	Bjorn-Mortensen 2016	ERR978724		
G34892	SAMEA3501045	Bjorn-Mortensen 2016	ERR978725		
G34893	SAMEA3501046	Bjorn-Mortensen 2016	ERR978726;ERR978727		
G34894	SAMEA3501047	Bjorn-Mortensen 2016	ERR978728		
G34895	SAMEA3501048	Bjorn-Mortensen 2016	ERR978729		
G34896	SAMEA3501049	Bjorn-Mortensen 2016	ERR978730		
G34897	SAMEA3501050	Bjorn-Mortensen 2016	ERR978731		
G34898	SAMEA3501051	Bjorn-Mortensen 2016	ERR978732		
G34899	SAMEA3501052	Bjorn-Mortensen 2016	ERR978733;ERR978734;ERR978735		
G34900	SAMEA3501053	Bjorn-Mortensen 2016	ERR978736		
G34901	SAMEA3501054	Bjorn-Mortensen 2016	ERR978737		
G34902	SAMEA3501055	Bjorn-Mortensen 2016	ERR978738		
G34903	SAMEA3501056	Bjorn-Mortensen 2016	ERR978739		
G34904	SAMEA3501057	Bjorn-Mortensen 2016	ERR978740		
G34905	SAMEA3501058	Bjorn-Mortensen 2016	ERR978741		
G34907	SAMEA3501060	Bjorn-Mortensen 2016	ERR978743		
G34908	SAMEA3501061	Bjorn-Mortensen 2016	ERR978744		
G34909	SAMEA3501062	Bjorn-Mortensen 2016	ERR978745		
G34910	SAMEA3501063	Bjorn-Mortensen 2016	ERR978746;ERR978747;ERR978748		
G34911	SAMEA3501064	Bjorn-Mortensen 2016	ERR978749		
G34912	SAMEA3501065	Bjorn-Mortensen 2016	ERR978750;ERR978751;ERR978752		
G34913	SAMEA3501066	Bjorn-Mortensen 2016	ERR978753		
G34914	SAMEA3501067	Bjorn-Mortensen 2016	ERR978754;ERR978755;ERR978756;ERR978757		
G34915	SAMEA3501068	Bjorn-Mortensen 2016	ERR978758		
G34916	SAMEA3501069	Bjorn-Mortensen 2016	ERR978759		
G34917	SAMEA3501070	Bjorn-Mortensen 2016	ERR978760;ERR978761;ERR978762		
G34918	SAMEA3501071	Bjorn-Mortensen 2016	ERR978763		
G34919	SAMEA3501072	Bjorn-Mortensen 2016	ERR978764		
G34920	SAMEA3501073	Bjorn-Mortensen 2016	ERR978765;ERR978766;ERR978767		
G34921	SAMEA3501074	Bjorn-Mortensen 2016	ERR978770		
G34924	SAMEA3501077	Bjorn-Mortensen 2016	ERR978771		
G34925	SAMEA3501078	Bjorn-Mortensen 2016	ERR978772		
G34926	SAMEA3501079	Bjorn-Mortensen 2016	ERR978773		
G34927	SAMEA3501080	Bjorn-Mortensen 2016	ERR978774		
G34928	SAMEA3501081	Bjorn-Mortensen 2016	ERR978775		
G34929	SAMEA3501082	Bjorn-Mortensen 2016	ERR978776		
G34930	SAMEA3501083	Bjorn-Mortensen 2016	ERR978777		
G34931	SAMEA3501084	Bjorn-Mortensen 2016	ERR978778		
G34932	SAMEA3501085	Bjorn-Mortensen 2016	ERR978779		
G34933	SAMEA3501086	Bjorn-Mortensen 2016	ERR978780		
G34935	SAMEA3501088	Bjorn-Mortensen 2016	ERR978782;ERR978783;ERR978784		
G34936	SAMEA3501089	Bjorn-Mortensen 2016	ERR978785		
G34944	SAMEA3501097	Bjorn-Mortensen 2016	ERR978793		
G34948	SAMEA3501101	Bjorn-Mortensen 2016	ERR978797		
G34955	SAMEA3501108	Bjorn-Mortensen 2016	ERR978804		
G34959	SAMEA3501112	Bjorn-Mortensen 2016	ERR978808		
G34963	SAMEA3501116	Bjorn-Mortensen 2016	ERR978812		
G34964	SAMEA3501117	Bjorn-Mortensen 2016	ERR978813		
G34967	SAMEA3501120	Bjorn-Mortensen 2016	ERR978816		
G34968	SAMEA3501121	Bjorn-Mortensen 2016	ERR978817		
G34969	SAMEA3501122	Bjorn-Mortensen 2016	ERR978818		
G34970	SAMEA3501123	Bjorn-Mortensen 2016	ERR978819		
